codigo,nombre,precio,unidad_medida,descripcion,categoria,familia,coleccion
338,SWITCH AMB OUS,36,unidad,,ALTRES,MONES 2024,MONES 2024
339,MANDO PLAY AMB OUS,32,unidad,,ALTRES,MONES 2024,MONES 2024
341,RAQUETA PADEL AMB PILOTA,35,unidad,,ESPORT,MONES 2024,MONES 2024
342,MOLL FER,49,unidad,,ALTRES,MONES 2024,MONES 2024
344,SANTA TECA MORATS,49,unidad,,ALTRES,MONES 2024,MONES 2024
345,OU ENVOLICAT,19,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
357,PILOTA LLISA,16,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
360,POLLETS,1.50,unidad,,PLASTICS,MONES 2024,MONES 2024
552,PACK MONA,8.60,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
554,MANDO PLAY,26,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
555,MANDO SWITCH,31,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
556,CASTELL BELLA I BESTIA,50,unidad,,CASES,MONES 2024,MONES 2024
557,CAMIO BOMBERS,30,unidad,,VEHICLES,MONES 2024,MONES 2024
558,OU PETIT N/B/LL,2.10,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
560,FIGURA GALLINA/ CONILL,11,unidad,,FIGURES COMPACTES,MONES 2027,MONES 2027
565,HEROIS SERIGRAFIA,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
601,OU MITJA N/B/LL,3.85,unidad,,FIGURES COMPACTES,MONES 2025,MONES 2025
602,OU GRAN N/B/LL,8.50,unidad,,FIGURES COMPACTES,MONES 2026,MONES 2026
629,PASTIS MONA,41,unidad,,FIGURES COMPACTES,MONES 2030,MONES 2030
630,LLANXA,42,unidad,,VEHICLES,MONES 2024,MONES 2024
631,BLUEY,55,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
632,CUCS,50,unidad,,ALTRES,MONES 2024,MONES 2024
633,DRAC PUFF,20,unidad,,ALTRES,MONES 2024,MONES 2024
634,CASA OUS,55,unidad,,CASES,MONES 2024,MONES 2024
635,CASA TRONC,45,unidad,,CASES,MONES 2024,MONES 2024
636,MOLI DE VENT,55,unidad,,CASES,MONES 2024,MONES 2024
637,CASA XIMENEIA,55,unidad,,CASES,MONES 2024,MONES 2024
638,POKEMON BOSC,48,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
639,PIKACHU,50,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
640,ESCAVADORA,50,unidad,,VEHICLES,MONES 2024,MONES 2024
641,GIRAFA PETITA,48,unidad,,ALTRES,MONES 2024,MONES 2024
642,CRANC,59,unidad,,ALTRES,MONES 2024,MONES 2024
643,BOB ESPONJA CASA,59,unidad,,CASES,MONES 2024,MONES 2024
644,STARWARS SERIGRAFIA,42,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
645,CASA GOS PETIT,42,unidad,,CASES,MONES 2024,MONES 2024
646,CASA SUISSA,52,unidad,,CASES,MONES 2024,MONES 2024
647,BEBES LLORONES,41,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
648,MAQUINA TREN,50,unidad,,VEHICLES,MONES 2024,MONES 2024
649,MINNIE I MICKEY,50,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
650,BAMBA,26,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
651,UNICORN VOLUM,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
652,PATRULLA CANINA,58,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
653,CAMP FUTBOL BARCA,70,unidad,,ESPORT,MONES 2024,MONES 2024
654,PEPA PIG,50,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
655,BARBIE COTXE,60,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
656,PATI LLET,25,unidad,,ALTRES,MONES 2024,MONES 2024
657,BARBIE OU,50,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
658,CARROSSA PRINCESA,65,unidad,,VEHICLES,MONES 2024,MONES 2024
659,NAU STARWARS GRAN AMB BABYYOD,49,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
660,CASA MICKEY,55,unidad,,CASES,MONES 2024,MONES 2024
661,CASA MONTANYA,55,unidad,,CASES,MONES 2024,MONES 2024
662,FORNITE,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
663,MOTO,56,unidad,,VEHICLES,MONES 2024,MONES 2024
664,TIK TOK,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
665,BOLA DE DRAC boles blanques,46,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
666,CARRO POLLETS,41,unidad,,VEHICLES,MONES 2024,MONES 2024
667,COTXE MICKEY,58,unidad,,VEHICLES,MONES 2024,MONES 2024
668,GRANOTA,20,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
669,AULA PEPPA PIG,55,unidad,,ALTRES,MONES 2024,MONES 2024
670,HARRY POTTER,58,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
671,MOTO GP,39,unidad,,VEHICLES,MONES 2024,MONES 2024
672,FROZZEN,59,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
673,SABATA TALO,30,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
674,LLEO,50,unidad,,ALTRES,MONES 2024,MONES 2024
675,CASA TRIANGULAR,45,unidad,,CASES,MONES 2024,MONES 2024
676,CASTELL PLA AMB TORRE,48,unidad,,CASES,MONES 2024,MONES 2024
677,CASTELL AMB 2 TORRES,55,unidad,,CASES,MONES 2024,MONES 2024
678,MARIO BROS,48,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
679,REY LEON,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
680,AMOUNG US,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
681,DINO,45,unidad,,ALTRES,MONES 2024,MONES 2024
682,SPIDERMAN BLOC NEGRE,48,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
683,KINGS I QUEENS LEAGUE,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
684,CASA BOTA,49,unidad,,CASES,MONES 2024,MONES 2024
685,PILOTA BARCA GRAN,43,unidad,,ESPORT,MONES 2024,MONES 2024
686,BOLET CASA,46,unidad,,CASES,MONES 2024,MONES 2024
687,MIC TV3,52,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
688,MIERCOLES ADAMS,45,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
689,PILOTA BASQUET,45,unidad,,ESPORT,MONES 2024,MONES 2024
690,AVIONETA,45,unidad,,VEHICLES,MONES 2024,MONES 2024
691,SONIC,43,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
692,PILOTA BARCA PETITA,28,unidad,,ESPORT,MONES 2024,MONES 2024
